date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:13:28	4402/4402	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Aug%202019%2015:13:29%20GMT	https://prenotaonline.esteri.it/Login.aspx?ReturnUrl=%2facc_Prenota.aspx	C:/My%20Web%20Sites/Italia/prenotaonline.esteri.it/Login233b.html	(from )
08:13:29	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Aug%202019%2015:13:31%20GMT	https://prenotaonline.esteri.it/robots.txt		(from )
08:13:31	3651/3651	---M-Z	200	added ('OK')	text/css	etag:%22803ac7684dc4d41:0%22	https://prenotaonline.esteri.it/App_Themes/acc_Accesso.css	C:/My%20Web%20Sites/Italia/prenotaonline.esteri.it/App_Themes/acc_Accesso.css	(from https://prenotaonline.esteri.it/Login.aspx?ReturnUrl=%2facc_Prenota.aspx)
08:13:32	4951/4951	---M-Z	200	added ('OK')	text/css	etag:%22803ac7684dc4d41:0%22	https://prenotaonline.esteri.it/App_Themes/acc_Common.css	C:/My%20Web%20Sites/Italia/prenotaonline.esteri.it/App_Themes/acc_Common.css	(from https://prenotaonline.esteri.it/Login.aspx?ReturnUrl=%2facc_Prenota.aspx)
08:13:34	570/570	---M--	200	added ('OK')	image/png	etag:%22ab3bdb684dc4d41:0%22	https://prenotaonline.esteri.it/images/left_corner.png	C:/My%20Web%20Sites/Italia/prenotaonline.esteri.it/images/left_corner.png	(from https://prenotaonline.esteri.it/Login.aspx?ReturnUrl=%2facc_Prenota.aspx)
08:13:35	583/583	---M--	200	added ('OK')	image/png	etag:%22ab3bdb684dc4d41:0%22	https://prenotaonline.esteri.it/images/right_corner.png	C:/My%20Web%20Sites/Italia/prenotaonline.esteri.it/images/right_corner.png	(from https://prenotaonline.esteri.it/Login.aspx?ReturnUrl=%2facc_Prenota.aspx)
08:13:37	4509/4509	---M--	200	added ('OK')	image/gif	etag:%22ab3bdb684dc4d41:0%22	https://prenotaonline.esteri.it/images/nuovologo.gif	C:/My%20Web%20Sites/Italia/prenotaonline.esteri.it/images/nuovologo.gif	(from https://prenotaonline.esteri.it/Login.aspx?ReturnUrl=%2facc_Prenota.aspx)
08:13:42	69961/69961	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Aug%202019%2015:13:39%20GMT	https://prenotaonline.esteri.it/sedi.aspx	C:/My%20Web%20Sites/Italia/prenotaonline.esteri.it/sedi.html	(from https://prenotaonline.esteri.it/Login.aspx?ReturnUrl=%2facc_Prenota.aspx)
08:13:43	6720/6720	---M--	200	added ('OK')	text/html	date:Wed,%2014%20Aug%202019%2015:13:44%20GMT	https://prenotaonline.esteri.it/InfoCookie.aspx	C:/My%20Web%20Sites/Italia/prenotaonline.esteri.it/InfoCookie.html	(from https://prenotaonline.esteri.it/Login.aspx?ReturnUrl=%2facc_Prenota.aspx)
08:13:45	264/264	---M--	200	added ('OK')	image/png	etag:%22309ddd684dc4d41:0%22	https://prenotaonline.esteri.it/images/tab_body.png	C:/My%20Web%20Sites/Italia/prenotaonline.esteri.it/images/tab_body.png	(from https://prenotaonline.esteri.it/App_Themes/acc_Accesso.css)
08:13:46	823/823	---M--	200	added ('OK')	image/gif	etag:%22ab3bdb684dc4d41:0%22	https://prenotaonline.esteri.it/images/puls.gif	C:/My%20Web%20Sites/Italia/prenotaonline.esteri.it/images/puls.gif	(from https://prenotaonline.esteri.it/App_Themes/acc_Common.css)
